Category,date,Description,Amount
,12/9/03,Rai Pepperoni'S Grill Riverside Ca,7.53
Health,12/11/03,Rite Aid Store 5717 Riverside Ca,19.67
Cash/ATM,12/15/03,ATM Withdrawal - 12/15 0887J Riverside Riverside Ca 3319,20
Checks Written,12/15/03,Check #305,50
Shopping,12/15/03,UCR Bookstore Riverside Ca,48.42
Auto/Transportation,12/15/03,Union 76 00379982 Riverside Ca,23.76
Checks Written,12/16/03,Check #306,25
,12/16/03,Eastbay Catalog 800-628-6301 Wi,66.98
,12/16/03,The Sharper Image #377 Riverside Ca,43.05
Cash/ATM,12/17/03,ATM Withdrawal - 12/17 10010 3737 Main Streeinland Empriverside Ca,22
Other Spending,12/17/03,Non-Wells Fargo ATM Transaction Fee,2
Groceries,12/18/03,2995 Iowa Ave. Stater 114Riverside Ca,21.2
Groceries,12/19/03,2995 Iowa Ave. Stater 114Riverside Ca,20.93
,12/19/03,Bbs Bar And Grill Riverside Ca,4.75
Food/Drink,12/19/03,Pizza Hut 07050511 909-7648817 Ca,13.3
,12/20/03,Pacific Stiks Riverside Ca,5.33
Cash/ATM,12/21/03,ATM Withdrawal - 12/21 0887J Riverside Riverside Ca 3319,20
Food/Drink,12/21/03,Rubio'S Riverside #66 Riverside Ca,6.66
,12/22/03,3940 State St Mcd 01556 Santa Barbaraca 3319,4.29
Auto/Transportation,12/22/03,Blaine Union 76Blaine Uniriverside Ca 3319,2.35
,12/22/03,Gap #0245/The Riverside Ca,21.01
Auto/Transportation,12/22/03,Union 76 00379982 Riverside Ca,14.24
Auto/Transportation,12/23/03,Union 76 73752024 Atascadero Ca,26.4
,12/23/03,University Village Cin Riverside Ca,12.5
,12/24/03,Kitchen Collection #10 Atascadero Ca,16.07
,12/24/03,Office Max 00009662 Pasa Robles Ca,128.68
Cash/ATM,12/26/03,ATM Withdrawal - 12/26 Td013779 1019 Court St Mc Carthy'San Luis Obisca 3319,42
Food/Drink,12/28/03,Round Table Pizza Atascadero Ca,18.8
Auto/Transportation,12/28/03,Union 76 00037598 Camarillo Ca,20.36
Other Spending,12/29/03,Non-Wells Fargo ATM Transaction Fee,2
Groceries,12/30/03,2995 Iowa Ave. Stater 114Riverside Ca 3319,38.94
Shopping,1/1/04,Mad Platter Riverside Ca,18.05
Other Spending,1/2/04,Bill Pay Service Fee On 01-01,6.95
Shopping,1/2/04,Music Mikes Riverside Ca,29.04
,1/4/04,Historic Mission Inn Riverside Ca,3.23
Entertainment,1/4/04,Tremors Riverside Ca,12
Cash/ATM,1/5/04,ATM Withdrawal - 01/05 0887J Riverside Riverside Ca 3319,40
Auto/Transportation,1/7/04,Union 76 00379982 Riverside Ca,24.63
Groceries,1/8/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,39.37
Checks Written,1/8/04,Check #307,475
Food/Drink,1/8/04,Get A Way Cafe Riverside Ca,19.45
Shopping,1/8/04,Mad Platter Riverside Ca,10.76
Cash/ATM,1/10/04,ATM Withdrawal - 01/10 Rx9820 1200 Garnet Avetavern At San Diego Ca 3319,62
Auto/Transportation,1/11/04,Exxonmobil59 02355469 Fallbroo Ca,21.89
Groceries,1/12/04,2995 Iowa Ave. Stater 114Riverside Ca 3319,54.89
Other Spending,1/12/04,Non-Wells Fargo ATM Transaction Fee,2
Credit Card/Loan Payments,1/13/04,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 01-13,100
Bills/Utilities,1/13/04,Bill Pay Charter Communic On-Line 04512201249060 On 01-13,100
Bills/Utilities,1/13/04,Bill Pay Riverside Utilit On-Line 278678132713 On 01-13,64.68
Credit Card/Loan Payments,1/13/04,Bill Pay Wells Fargo Mast On-Line 5490950002018291 On 01-13,100
Other Spending,1/13/04,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,1
Other Spending,1/13/04,Monthly Service Fee,3.75
